1951	35	18.0
1952	40	20.6
1953	30	15.4
1954	27	13.9
1955	22	11.3
1956	23	11.8
1957	27	13.9
1958	30	15.4
1959	49	25.2
1960	26	13.4
1961	30	15.4
1962	25	12.9
1963	27	13.9
1964	35	18.0
1965	30	15.4
1966	33	17.0
1967	35	18.0
1968	40	20.6
1969	25	12.9
1970	25	12.9
1971	30	15.4
1972	32	16.5
1973	22	11.3
1974	30	15.4
1975	30	15.4
1976	33	17.0
1977	32	16.5
1978	30	15.4
1979	40	20.6
1980	28	14.4
1981	44	22.6
1982	30	15.4
1983	33	17.0
1984	33	17.0
1985	25	12.9
1986	35	18.0
1987	34	17.5
1988	30	15.4
1989	25	12.9
1990	27	13.9
1991	28	14.4
1992	32	16.5
1993	28	14.4
1994	26	13.4
1995	35	18.0
1996	31	15.9
1997	34	17.5
1999	29	14.9
2000	50	25.7
2001	35	18.0
2002	35	18.0
2003	34	17.5
2004	32	16.5
2005	40	20.6
2006	39	20.1
2007	47	24.2
2008	31	15.9
2009	60	30.9
2010	33	17.0
2011	31	15.9
2012	37	19.0
